y=1281, x=589..597
x=622, y=1627..1639
y=1156, x=493..506
y=1221, x=482..487
y=1343, x=564..585
x=478, y=458..482
x=650, y=906..915
x=619, y=1048..1052
y=1564, x=541..544
x=625, y=1605..1615
x=569, y=1037..1063
x=584, y=1270..1284
x=515, y=1356..1358
y=957, x=524..529
x=479, y=906..930
y=1327, x=550..568
x=698, y=1543..1548
x=574, y=449..460
x=594, y=1481..1492
x=501, y=991..1007
x=608, y=910..923
x=545, y=668..674
y=827, x=692..709
y=1106, x=461..479
x=631, y=227..229
y=1475, x=561..567
x=711, y=452..459
y=215, x=539..562
y=232, x=648..653
x=611, y=113..118
x=520, y=1407..1419
x=460, y=797..807
y=320, x=545..564
x=596, y=1075..1095
x=681, y=340..352
x=730, y=592..614
x=589, y=1252..1254
x=570, y=221..239
y=1055, x=609..632
y=1202, x=670..672
x=597, y=975..979
x=723, y=272..291
x=673, y=992..1003
y=413, x=573..597
x=505, y=125..130
x=582, y=1510..1535
x=644, y=1485..1495
y=1302, x=557..560
y=630, x=615..637
x=662, y=1402..1416
x=631, y=182..196
x=705, y=1265..1278
x=720, y=352..354
x=677, y=666..688
y=1242, x=611..635
x=614, y=1336..1346
x=482, y=628..630
x=579, y=1120..1126
y=525, x=488..507
x=553, y=1508..1526
y=515, x=620..625
x=510, y=87..90
x=530, y=562..565
y=1063, x=552..569
x=563, y=749..765
x=713, y=756..758
x=506, y=1434..1436
x=601, y=604..607
x=702, y=1127..1137
x=647, y=906..915
x=626, y=1413..1438
y=941, x=632..648
x=716, y=515..543
x=621, y=1674..1676
x=617, y=856..858
y=1434, x=695..698
x=682, y=232..257
x=679, y=837..841
x=536, y=266..279
y=1069, x=529..541
x=518, y=395..405
y=603, x=626..629
x=692, y=290..306
y=151, x=714..732
x=569, y=1337..1339
x=635, y=1221..1242
y=317, x=553..558
x=527, y=249..256
y=72, x=510..536
x=704, y=94..106
x=683, y=1219..1240
x=470, y=1328..1339
y=666, x=614..637
x=653, y=1609..1615
x=691, y=121..135
x=681, y=360..364
y=871, x=471..485
y=1285, x=623..644
y=193, x=540..544
x=675, y=42..51
x=651, y=650..677
x=715, y=42..45
x=667, y=1442..1455
x=551, y=958..967
x=541, y=739..748
x=635, y=1258..1263
x=613, y=6..18
y=895, x=571..575
x=685, y=360..364
y=635, x=652..680
x=656, y=289..298
x=516, y=1523..1535
x=718, y=156..161
x=564, y=1332..1343
x=708, y=1213..1228
x=599, y=283..286
y=411, x=615..617
x=608, y=725..737
x=510, y=847..857
x=644, y=470..490
y=608, x=618..635
y=1638, x=474..481
y=1552, x=641..643
y=306, x=692..707
y=1109, x=636..710
x=710, y=364..367
y=639, x=513..526
x=657, y=1383..1387
x=638, y=219..236
y=152, x=484..486
x=716, y=593..609
x=648, y=223..232
x=523, y=82..96
x=689, y=1452..1454
y=1218, x=466..476
y=1030, x=530..543
x=643, y=524..529
y=692, x=581..600
y=267, x=667..676
x=646, y=1144..1146
x=556, y=369..375
y=858, x=617..622
x=632, y=1257..1263
y=250, x=614..620
x=636, y=148..151
x=669, y=1468..1474
x=582, y=21..28
x=606, y=1040..1052
x=550, y=533..547
y=1211, x=542..546
y=1003, x=673..693
x=536, y=715..729
x=719, y=1197..1201
x=499, y=827..847
x=551, y=681..694
x=639, y=1314..1332
y=1416, x=662..686
x=575, y=895..903
x=537, y=868..871
x=586, y=237..252
y=586, x=617..626
y=1304, x=465..476
y=1208, x=498..520
x=689, y=340..352
x=643, y=1313..1332
x=528, y=1628..1653
x=696, y=1293..1301
x=504, y=747..749
x=636, y=868..878
x=523, y=1452..1455
x=596, y=994..1006
x=682, y=1013..1024
x=675, y=1447..1457
x=513, y=626..639
y=1369, x=550..656
y=187, x=587..593
x=603, y=113..118
x=614, y=248..250
y=614, x=726..730
y=594, x=665..672
x=483, y=101..111
x=498, y=678..699
x=710, y=1097..1109
x=574, y=424..443
x=557, y=62..66
x=678, y=862..885
y=721, x=679..687
y=881, x=669..671
y=1430, x=562..572
x=496, y=491..504
x=462, y=369..393
y=1052, x=589..606
y=1378, x=469..484
x=540, y=183..193
y=37, x=628..640
x=708, y=74..80
y=100, x=654..657
y=1248, x=469..479
y=547, x=606..612
x=720, y=997..1009
y=1498, x=639..658
y=1653, x=517..528
x=566, y=271..274
x=494, y=275..278
y=358, x=565..571
x=628, y=25..37
x=518, y=241..251
y=460, x=561..574
y=18, x=613..639
x=597, y=638..641
x=721, y=364..367
y=1189, x=631..637
x=723, y=206..210
x=529, y=868..871
y=481, x=520..527
x=706, y=330..339
x=574, y=1203..1216
x=684, y=587..601
y=343, x=495..502
y=1126, x=579..586
y=729, x=599..601
x=663, y=525..529
x=574, y=747..760
y=1228, x=708..730
x=562, y=1425..1430
x=680, y=1104..1106
y=908, x=545..554
